Country,Last,Previous,Reference,Unit
Bosnia and Herzegovina,34.85,34.67,20-Aug,%
Angola,34,32.7,20-Sep,%
Namibia,33.4,34,18-Dec,%
Palestine,28.5,26.5,20-Sep,%
Nigeria,27.1,23.1,20-Jun,%
Mozambique,25.04,24.37,17-Dec,%
Kosovo,25,25.9,20-Mar,%
Lesotho,23.5,23.6,19-Dec,%
South Africa,23.3,30.1,20-Jun,%
Jordan,23,19.3,20-Jun,%
Swaziland,22.9,22.5,19-Dec,%
Costa Rica,22,24,20-Sep,%
Gabon,19.6,19.5,19-Dec,%
Ethiopia,19.1,16.9,18-Dec,%
Montenegro,18.56,18.26,20-Aug,%
Botswana,18.2,17.9,19-Dec,%
Tunisia,18,15.1,20-Jun,%
Armenia,17.5,19.8,20-Jun,%
Libya,17.3,17.3,19-Dec,%
Senegal,17,14,19-Dec,%
Greece,16.8,17,20-Aug,%
North Macedonia,16.7,16.2,20-Jun,%
Peru,16.5,15.6,20-Sep,%
Spain,16.26,15.33,20-Sep,%
Rwanda,16,22.1,20-Aug,%
Colombia,15.77,15.8,20-Oct,%
Lithuania,14.9,14.1,20-Oct,%
Brazil,14.4,13.8,20-Aug,%
Haiti,13.5,13.5,19-Dec,%
Sao Tome and Principe,13.4,13.3,19-Dec,%
Turkey,13.2,13.4,20-Aug,%
Zambia,13.2,11.4,19-Dec,%
Argentina,13.1,10.4,20-Jun,%
Sudan,13,12.9,19-Dec,%
Yemen,12.8,12.9,19-Dec,%
Georgia,12.7,13.9,18-Dec,%
Morocco,12.7,12.3,20-Sep,%
Jamaica,12.6,7.3,20-Sep,%
Albania,12.5,11.9,20-Jun,%
Chile,12.3,12.9,20-Sep,%
Mauritius,12.2,7.1,20-Jun,%
Guyana,11.9,11.9,19-Dec,%
New Caledonia,11.9,11.6,18-Dec,%
Algeria,11.4,11.7,19-Apr,%
Cape Verde,11.29,12.2,19-Dec,%
Afghanistan,11.1,11.1,19-Dec,%
Uruguay,10.8,10.6,20-Aug,%
Kenya,10.4,5.2,20-Jun,%
Republic of the Congo,10.4,10.4,19-Dec,%
Mauritania,10.32,10.31,19-Dec,%
Philippines,10,17.7,20-Sep,%
Ukraine,9.9,8.6,20-Jun,%
Iran,9.8,10.6,20-Jun,%
Mali,9.8,9.6,19-Dec,%
Egypt,9.6,7.7,20-Jun,%
Italy,9.6,9.7,20-Sep,%
Tanzania,9.6,9.7,19-Dec,%
Bahamas,9.5,10.7,19-Dec,%
Puerto Rico,9.3,9.6,20-Sep,%
Equatorial Guinea,9.2,9.2,19-Dec,%
Brunei,9.1,8.9,19-Dec,%
Slovenia,9.1,9.2,20-Aug,%
France,9,7.1,20-Sep,%
Saudi Arabia,9,5.7,20-Jun,%
Barbados,8.9,9.5,19-Dec,%
Canada,8.9,9,20-Oct,%
Gambia,8.9,8.9,19-Dec,%
Croatia,8.8,9,20-Sep,%
Austria,8.7,8.4,20-Oct,%
Latvia,8.6,7.4,20-Jun,%
Syria,8.4,8.3,19-Dec,%
Euro Area,8.3,8.3,20-Sep,%
Sweden,8.3,8.8,20-Sep,%
Mongolia,8.1,9.9,19-Dec,%
Cyprus,8,7.4,20-Sep,%
Iraq,7.9,7.9,19-Dec,%
Portugal,7.8,5.6,20-Sep,%
Belize,7.7,9.4,19-Dec,%
Finland,7.6,7.7,20-Sep,%
European Union,7.5,7.4,20-Sep,%
Slovakia,7.4,7.6,20-Sep,%
Suriname,7.4,7.6,19-Dec,%
Ireland,7.3,7.3,20-Oct,%
Serbia,7.3,9.7,20-Jun,%
Bulgaria,7.2,7.5,20-Sep,%
Estonia,7.1,5,20-Jun,%
Panama,7.1,6,19-Dec,%
Indonesia,7.07,4.99,20-Sep,%
India,7,6.7,20-Oct,%
Australia,6.9,6.8,20-Sep,%
United States,6.9,7.9,20-Oct,%
Ghana,6.8,6.7,19-Dec,%
Central African Republic,6.5,6.5,19-Dec,%
Eritrea,6.5,6.5,19-Dec,%
Hong Kong,6.4,6.1,20-Sep,%
Maldives,6.4,6.1,19-Dec,%
Venezuela,6.4,7.3,18-Dec,%
El Salvador,6.3,6.4,19-Dec,%
Luxembourg,6.3,6.4,20-Sep,%
Russia,6.3,6.4,20-Sep,%
Lebanon,6.2,6.2,19-Dec,%
Burkina Faso,6.1,6.1,19-Dec,%
Poland,6.1,6,20-Sep,%
Honduras,5.7,5.7,19-Dec,%
Paraguay,5.7,6.2,19-Dec,%
Uzbekistan,5.5,5.2,19-Dec,%
China,5.4,5.6,20-Sep,%
Malawi,5.4,5.4,19-Dec,%
Sri Lanka,5.4,5.7,20-Jun,%
New Zealand,5.3,4,20-Sep,%
Norway,5.3,5.2,20-Aug,%
Belgium,5.2,5.1,20-Sep,%
Romania,5.2,5.3,20-Sep,%
Mexico,5.1,5.2,20-Sep,%
Kazakhstan,5,5,20-Sep,%
Ecuador,4.9,5.9,19-Dec,%
Iceland,4.9,6,20-Sep,%
Zimbabwe,4.9,4.9,19-Dec,%
Azerbaijan,4.8,5.2,19-Dec,%
Denmark,4.8,4.9,20-Sep,%
Nicaragua,4.8,4.9,20-Mar,%
United Kingdom,4.8,4.5,20-Sep,%
Israel,4.7,4.9,20-Sep,%
Malaysia,4.6,4.7,20-Sep,%
Germany,4.5,4.5,20-Sep,%
Hungary,4.4,4.6,20-Sep,%
Malta,4.4,3.3,20-Jun,%
Netherlands,4.4,4.6,20-Sep,%
Guinea,4.3,4.2,19-Dec,%
Sierra Leone,4.3,4.3,19-Dec,%
Bangladesh,4.2,4.3,19-Dec,%
Fiji,4.2,4.2,19-Dec,%
Moldova,4.2,4.1,20-Jun,%
Guinea Bissau,4.1,4.1,19-Dec,%
Pakistan,4.1,5.5,19-Dec,%
Bahrain,3.9,3.7,18-Dec,%
South Korea,3.9,3.2,20-Sep,%
Turkmenistan,3.9,3.8,19-Dec,%
Taiwan,3.78,3.83,20-Sep,%
Comoros,3.7,3.7,19-Dec,%
Czech Republic,3.7,3.8,20-Oct,%
Bolivia,3.6,3,19-Dec,%
Singapore,3.6,2.8,20-Sep,%
Cayman Islands,3.5,2.8,19-Dec,%
Seychelles,3.5,4.1,18-Dec,%
Trinidad and Tobago,3.5,4.4,18-Dec,%
Bhutan,3.4,2.4,18-Dec,%
Cameroon,3.4,3.4,19-Dec,%
North Korea,3.3,3.3,19-Dec,%
Dominican Republic,3.2,5.7,20-Jun,%
Nepal,3.2,3.4,17-Dec,%
Switzerland,3.2,3.2,20-Oct,%
Kyrgyzstan,3.1,3.1,20-Sep,%
Oman,3.1,3.1,19-Dec,%
East Timor,3,3,19-Dec,%
Japan,3,3,20-Sep,%
Macau,2.9,2.4,20-Sep,%
Vietnam,2.73,2.22,20-Jun,%
United Arab Emirates,2.64,2.57,19-Dec,%
Ivory Coast,2.4,2.5,19-Dec,%
Papua New Guinea,2.4,2.4,19-Dec,%
Chad,2.3,2.2,19-Dec,%
Kuwait,2.17,2.06,19-Dec,%
Tajikistan,2.1,2.1,19-Nov,%
Benin,2,2.1,19-Dec,%
Guatemala,2,2.5,19-Sep,%
Liberia,2,2,19-Dec,%
Thailand,1.9,2.1,20-Aug,%
Uganda,1.8,1.7,19-Dec,%
Liechtenstein,1.7,1.9,18-Dec,%
Togo,1.7,1.7,19-Dec,%
Madagascar,1.6,1.7,19-Dec,%
Myanmar,1.6,1,19-Dec,%
Faroe Islands,1.5,1.6,20-Aug,%
Burundi,1.4,1.4,19-Dec,%
Cuba,1.3,1.7,19-Dec,%
Cambodia,0.7,0.7,19-Dec,%
Laos,0.6,0.6,19-Dec,%
Niger,0.3,0.3,19-Dec,%
Belarus,0.2,0.2,20-Jul,%
Qatar,0.1,0.1,20-Mar,%
